hash256,birth_year_value,death_year_value,birth_city,birth_state,birth_city_lat_long,birth_country,death_city,death_state,death_country,death_city_latitude_longitude
0e67639e2998f4fd51c2f04c6d9c71f434340eee8b8df513d9fc8153c893b271,1781,1833,Warwick,RI,"41.7001, -71.4595",United States of America,Pawtucket,MA,United States of America,"41.87915, -71.38178"
1d2a4863e857e800f64e2f01b10408bbe65dd198f42743b9304ff5e419bc4381,1781,1855,,,,,Newport,RI,United States of America,"41.49032, -71.31363"
d1553017ec277f83ab856d3348b1b595014564d5b51e470a6deade2cfa39cd00,1782,1807,Cheshire,CT,"41.5006, -72.9012",United States of America,,,,
b556b86fe8bc7a9c3514f10cbb88ccc315342281daaf3e61dfb65697cedeebf3,1782,1821,Killingworth,CT,"41.3583, -72.5644",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
4f6de90bb14fb82523ca830e105037720786e71d5c3439ce062aef970b3c2a98,1782,1865,Newport,RI,"41.49032, -71.31363",United States of America,,,,
904d4b62d37b8bb49f97cc7da2fa6f34c6d43de18253f185ab5963006ab06aa8,1782,1845,Foster,RI,"41.8514, -71.7579",United States of America,,,,
15abf7c6c284cb3c9a781456116d49c7b63d9b60b508f1a16415d995e640686c,1782,1837,Johnston,RI,"41.83069, -71.54211",United States of America,,,,
05bf9516fc4a0f6fd869c6b162f4afdacdfeb9aaca922cd2c982cb8f5c9d82c4,1782,1863,,,,France,Pomfret,CT,United States of America,"41.8972, -71.9611"
9d278269bac817de40f9ad00f6fe8d4534571c00959790da7158a171abd8348e,1782,1867,Douglas,MA,"42.0541, -71.7404",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
afc2e50762c3a394b7f1b7d0d2ba1426f94052b5c73801e71c04932d29b0aac7,1783,1864,Providence,RI,"41.82442, -71.41251",United States of America,Bristol,RI,United States of America,"41.67714, -71.26745"
5b09083ae9c4c873882dafd6aadb8bcddb21ee96a020cc107d93351d70454503,1783,1803,,,,,Marseilles,,France,"43.2992, 5.3703"
c6939d47b35dcae977f8feba597d61ef3f248646eb588f4202a6af899cfdcfae,1783,1810,,,,,Wilmington,NC,United States of America,"34.2317, -77.9415"
dde91ae0574ff3df4b532df7e3a2d442c38fb0a6b61dad7b148ce5f1e2280589,1783,1823,,,,,Sandusky,OH,United States of America,
2b92987ed5a01b1f122804ef5a1bafd0e04f96c2bc6632d9be9df81d79cb7257,1783,1878,Lyme,CT,"41.3948, -72.3525",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
14f6bdcbaa5e82da7b353769342e4b48e207d77256367d59212dc755abab175d,1783,1861,East Greenwich,RI,"41.66073, -71.45525",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
22feebbb922949280b0f274d95f1bc395168259b1a71917a898103c4cb07ce81,1783,1850,Providence,RI,"41.82442, -71.41251",United States of America,,,,
c449be2caaa8d33dc27c56502d6b132293bc79e89314af986197765174ae1712,1784,1848,Rochester,MA,"41.7355, -70.8220",United States of America,New York City,NY,United States of America,"40.7098, -74.0094"
2069f7b7591f8dd1cd25374e69e985335d2ad22a6a2df615e53d5acbbfa33eec,1784,1803,,,,,Havanna,,Cuba,"23.1366, -82.3611"
509c58a5142a96098018e6e2d98cb7d63f9064bc54b449a8f52831999d7120ad,1784,1860,,,,,Dorchester,MA,United States of America,"42.29687, -71.07450"
4140e73b78f0184e35fa8c3694bf7a13e20481689caeb87799007243b2916ed7,1784,1835,Salem,MA,"42.5199, -70.8972",United States of America,,,,
350144a2f6f8890b3612b2e6c972d928a1e589b98d92fc9a59f464c2a6db5b27,1784,1820,,,,Wales,Mobile,AL,United States of America,"30.6917, -88.0410"
aab379afbd82395a9794873704bf8a51114139d4d4676d3e727e5377cae22868,1785,1831,,,,,Buffalo,NY,United States of America,"42.8880, -78.8798"
317ddc08f4dd11f12e451d57b5df7872be40f4ff689312d994ad1316d87f4a95,1785,1822,Rochester,Colony of Plymouth,"41.7355, -70.8220",United States of America,,,,
d27b4c73162ea31adfe7b2338b81d6e25253e85aa66cf37d12dca3ed1d6462c9,1785,1863,Newport,RI,"41.49032, -71.31363",United States of America,,,,
133192ae3ea7d9c9fe7afd81e7206c83405d5a6698779c3bb746f0b999f2d74f,1785,1806,,,,,Boston,MA,United States of America,"42.3555, -71.0603"
