hash256,section,composition,condition,legibility,estimated_installation_year
20150f327b2ab67e27607622aa3557f411ed4aa67933ac575f74c0798b6dd2f0,AA,marble,good,good,
20a8ea010aec2d1b6d0039cebd67517982fbd87b29888d373ed297ebb63b685f,AA,marble,good,good,1872
20acaa9846c226bbf97bd70b719d457391c1a335b967252656f605fe9a3bd50b,AA,slate,good,good,1769
211f868b56fe324aa3abffd4e4a766f6dd627fb51080b6bdac1abacb23792a4d,AA,slate,fair,fair,1778
213c1acc4619a3c18584aee933cc766e5f13faa3e61d8300961df71253cb84c5,AA,granite,good,good,1932
2146f9f97fa894bbd844ae217baa434df0c2f3c083c972ee8e6af8a1494b046f,AA,marble,poor,poor,1826
21549b55db38761aed41a1679b335819f9a23556956deb533afec4860a6a70bc,AA,slate,good,good,1837
215ff679c322b695c493e87b60f2a42f2d20a993c5473c37f08426e184b59d1d,AA,marble,fair,poor,1836
219a0c6cdee2498f73e98075ec391949e4dc6a88bf063fb3851aa97eb4dd4b83,AA,slate,fair,fair,1777
21baa2321e4e42740e46c8f74f16ef0c69cb26123209a59d285e1b5a56a505a2,AA,marble,fair,poor,1847
21ede04f9d2a3c52dbf4e37c0b742fe976dfa5c177624e758c7f479920259759,AA,marble,poor,fair,1824
228ffdd31529a4d4327297e2694cc42ad50c119e32943e50eba698a04a2ce79c,AA,marble,fair,poor,1835
22e81a2bef41d065dcb324a403396e30e123e3287aaf42b357ef797a549d0893,AA,slate,good,good,1804
22f2b297c01690151157d2ca94e75e19ca8587cb42ba6d13d95cf4c7d798a9d6,AA,marble,good,fair,1834
22f9f38f40e1ab2c24a2649f3d28ccc0aeae4f1b59a54d58aebeb27a86e5dff0,AA,marble,fair,poor,
2306e4d26a6eb71019f7f3200ae817b5780b6967a2255628e9986ca591519ccd,AA,slate,good,good,1748
231602b483d22f88854b4d1d53385c1a67b0a7d04b6f0d4c45378ed20579b20c,AA,,,,1856
233cb544187e018b411baf297329f0c348abd6f7a0f8e88bfa1c010a02b77092,AA,granite,good,good,1927
236108a5f6ecce7a3997a032fedcea022a0cf2f11d25f35fc32e24684fcab2de,AA,marble,poor,poor,1816
2386d0478ae87ac2c89e3be29b2cc897a2960c64a07ca424e8d9c6ca31b3d927,AA,marble,good,good,1887
23b7ab33bca1bc45a85809aa7096996589811ed9755ef5cd18b6a4f1c8710de0,AA,,,,
23c4eb175e64196599e0eda5060c910329385f6a0d0216f2c80bad0fad455c06,AA,granite,good,good,1878
2430c6fd3a25bb8a70f695eb78925902b3518e41596d53cc564aba87d8f15960,AA,granite,good,good,1783
24471f3b5cb512f7f4b07e5865434799a681cf694641946b8fcd84ac375fa37b,AA,marble,fair,poor,1834
246659523d96013663fe74d1efc121829dcad5b5df50abf371ee3a5682c2eead,AA,marble,fair,fair,1833
247dab38d24ace7becaee85bf483ccfcd10fb500b09c34f955eecce653f8cf24,AA,marble,fair,poor,1855
24a3f2881c256e6cda89469eec14c9894dfb14a56bff3c69aed237ef7a17254e,AA,marble,fair,fair,1820
2506ae1b8ef50cbe1d91794e61a5987d1e3ba163da7a5d02165418334266523b,AA,slate,good,good,1821
2510c09718aa1dd879fa72c5d9c702b7ba06f8567bbd566c767ca941b1c39d6e,AA,marble,fair,poor,1826
25116a259b1725750a6e02a89945e056ae1b4f44eb8aa89d9517e7525e5fb9d4,AA,,,,1849
25197c51e6686e21474422d3a6a80ba54d8a1345884cda7c5eb9d2d8b4836e41,AA,marble,fair,fair,1851
251cb9c025cd5ad1bcb0f501cb0df7c6ff5e9fac0ef1cea3bef9c74c5a6a2f52,AA,granite,good,good,1969
2539ae16f9fd14443baee77b7f35032c53ef39ee61cd0e1cbce506005bb95e2b,AA,marble,good,fair,1874
25b4263f5d509cae93d8ed86da588bed40684d476eccee55a66971ee1941162e,AA,sandstone,poor,poor,1786
25b98eec9f5bc9b4f641272ef45d3b0cd5e17e6ec67af33d07489aa29cd9411e,AA,marble,poor,poor,1844
25cab43cd83d6bac0bb0211e0c189c9ecca32a0fcff3c2736efb209176c04524,AA,marble,fair,fair,1872
26187aa31b5a7c5149a8c52937bdeda1e1bd5f89a89f16e51f87b61bae574168,AA,,,,1832
26268dca634f8e17286739edadb917e4b7df9ab0d19f5ccca814175a56b6fcf9,AA,slate,good,good,1810
266752325fdab877e2362dd5ffc73ce70c545e49bf47e6259dbe3a28f08308de,AA,marble,fair,fair,1867
26f9ab52e20e2f5104a6029030b1ad4f49d566e7b408082e7c0c568d4acda4ec,AA,marble,fair,poor,1861
27aae8dc5d788067a405533033404bfe8f89720919875339a8546c08f1e0ea17,AA,marble,poor,fair,1862
27bc1283f41166ce02297fd56c6e816154fc65d09ed688a4598aed2d0939597a,AA,marble,fair,fair,1880
28134f26dd54e39a4ac061a124427691af4a2d2393115e10f8a20f5f67ed782e,AA,slate,poor,fair,1770
28bbff8afe8d8461833efe21aac76692db3cd72394411d48e1610441f504156e,AA,granite,good,good,1870
29049209083ea96c72bd19f2017a64ec49be57bebe98b49b1fa6b7be0237b16e,AA,slate,good,good,1820
291986e9fd3351d22d6435474f2685cec5b08b5c8976b7acffc921f252cce09d,AA,marble,poor,poor,1872
29199905c86244f276ccd52bc99809d2a71b8179021769fe4d677cf4fe8d67ed,AA,granite,good,good,1905
2936827d87cb56ae80256d83d3c6a88fb8598b4258a8ac6ee15b068c57dcd8d9,AA,marble,poor,poor,1827
2961dcafb7fa5fe3936d9825841e44ed205b0394ca70bc3b57b4abff7c6b7b9a,AA,,,,1799
2994569024f18cf27a42ff2548c62eb6aa46f4e13ba081c6557972cb32a5045d,AA,slate,good,good,1921
29b7e61a1be0b76944d01d9fd7fd4850643d912d10d4efee2f433ca8beba67ec,AA,slate,good,good,1868
2a6e702a11b7a26b9928da062c5df7fd904b7b0ebca6849cd8bbae66de6a7398,AA,slate,good,good,1825
2b123aa9d1d3944ee359cd7c6eab0083f0855d817c1a215514c65901c36a183e,AA,slate,good,good,1833
2ba5174c8853a72469870bd9c4d960e5268414af3a21aceb1baf4134de48f737,AA,marble,fair,fair,1882
2bb694e26954296fb4948e013860eef40ea7e66c28157945f1b2e7e4e82a04b2,AA,granite,good,good,1886
2bd4e028235bae4e5abeee18ee4297f342204b3b06f29faf087b50404510b6af,AA,marble,good,good,1841
2c2e3e8ff6bf281ce7857612a06f2ba8438cee52fa74ef5e42fc5a8c4fafc17e,AA,slate,good,good,1798
2cd49505ca8353a10d0389590c5745f2b141a9fce52a05cde4a0738b57fd01d6,AA,marble,poor,poor,1847
2d140a98b923f8da06d09c21e1bd492756ecbc76a40f0d61ac066040a257247a,AA,slate,good,good,1851
2d6fdbfbc6064f82e880cd4e7a4fd072a981ac41179cf9013de25b75303218c5,AA,marble,poor,poor,1815
2dee68148ee9e4b816957c0659bd5fd34ea1de979be5c7d55be3d2d66b054ca4,AA,marble,fair,fair,1834
2df890aeb9f84479492a1e3425e3919540a134b68866683c8dce4c0100d00b84,AA,granite,good,good,1881
2e041adfe98a8c24c54b75a9f1e4ab4db7baf6eeee1e7925bd34533269b35184,AA,granite,good,good,1883
2e043b5ef322c0848135937a1a588a8c75b7c6c03be9d493a4832bb730bb6d2b,AA,marble,poor,poor,1858
2e4d051cc9c922ad9d290668991165dee7952db7b40dde2b22d6322f48395723,AA,marble,good,good,1834
2e91176416654cc4474f816be40a7699a724dee17a6b62d54b01649f7057df40,AA,slate,good,good,1793
